Board Game Rank;Title;Geek Rating;Avg Rating;Num Voters
1;Gloomhaven (2017);8.585;8.85;30740
2;Pandemic Legacy: Season 1 (2015);8.472;8.63;34439
3;Terraforming Mars (2016);8.267;8.42;47598
4;Through the Ages: A New Story of Civilization (2015);8.236;8.5;18093
5;Brass: Birmingham (2018);8.197;8.62;9728
6;Twilight Imperium (Fourth Edition) (2017);8.167;8.69;9212
7;Twilight Struggle (2005);8.162;8.31;36489
8;Star Wars: Rebellion (2016);8.155;8.43;18785
9;Gaia Project (2017);8.14;8.51;11835
10;Scythe (2016);8.101;8.26;46027
11;Great Western Trail (2016);8.095;8.28;22906
12;War of the Ring (Second Edition) (2012);8.062;8.45;11081
13;Spirit Island (2017);8.029;8.32;15858
14;Terra Mystica (2012);8.024;8.17;34793
15;The Castles of Burgundy (2011);8.011;8.13;39931
16;7 Wonders Duel (2015);7.981;8.11;46550
17;The 7th Continent (2017);7.98;8.37;12675
18;Concordia (2013);7.943;8.11;22674
19;Brass: Lancashire (2007);7.934;8.15;16563
20;Viticulture Essential Edition (2015);7.923;8.12;21318
21;Arkham Horror: The Card Game (2016);7.918;8.2;20862
22;Puerto Rico (2002);7.904;8.02;58639
23;A Feast for Odin (2016);7.892;8.18;13360
24;Mage Knight Board Game (2011);7.891;8.1;25006
25;Caverna: The Cave Farmers (2013);7.88;8.05;25308
26;Orleans (2014);7.88;8.08;17980
27;Food Chain Magnate (2015);7.87;8.18;11269
28;Agricola (2007);7.868;7.97;59295
29;Wingspan (2019);7.863;8.09;20109
30;Mansions of Madness: Second Edition (2016);7.86;8.12;19516
31;Blood Rage (2015);7.827;8.01;28435
32;Kingdom Death: Monster (2015);7.813;8.74;6546
33;Pandemic Legacy: Season 2 (2017);7.807;8.2;8843
34;Power Grid (2004);7.787;7.88;52155
35;Mechs vs. Minions (2016);7.785;8.1;12183
36;Through the Ages: A Story of Civilization (2006);7.774;7.97;17261
37;Star Wars: Imperial Assault (2014);7.771;8.05;18004
38;Tzolk'in: The Mayan Calendar (2012);7.77;7.92;26503
39;Root (2018);7.758;8.06;13506
40;Eclipse (2011);7.749;7.92;24796
41;Azul (2017);7.742;7.87;37314
42;Le Havre (2008);7.738;7.88;24190
43;The Voyages of Marco Polo (2015);7.72;7.93;17091
44;Clans of Caledonia (2017);7.719;8.03;11058
45;Robinson Crusoe: Adventures on the Cursed Island (2012);7.718;7.88;29186
46;Nemesis (2018);7.706;8.5;5987
47;Android: Netrunner (2012);7.693;7.88;25188
48;Anachrony (2017);7.686;8.1;8738
49;7 Wonders (2010);7.675;7.77;74037
50;Race for the Galaxy (2007);7.662;7.76;42443
51;Keyflower (2012);7.654;7.84;16953
52;Dominant Species (2010);7.648;7.85;16575
53;Fields of Arle (2014);7.645;8.11;6554
54;Caylus (2005);7.643;7.8;25359
55;Lords of Waterdeep (2012);7.638;7.76;41085
56;Five Tribes (2014);7.627;7.77;27895
57;The Gallerist (2015);7.626;8.02;7863
58;Clank!: A Deck-Building Adventure (2016);7.622;7.81;20969
59;Twilight Imperium (Third Edition) (2005);7.618;7.86;17630
60;El Grande (1995);7.613;7.77;22058
61;Rising Sun (2018);7.612;7.94;12711
62;Eldritch Horror (2013);7.611;7.84;25686
63;Mombasa (2015);7.595;7.92;9544
64;Dominion: Intrigue (2009);7.593;7.73;28175
65;Codenames (2015);7.585;7.67;56667
66;Battlestar Galactica: The Board Game (2008);7.583;7.74;30964
67;Patchwork (2014);7.579;7.69;37669
68;Troyes (2010);7.575;7.77;16264
69;Lisboa (2017);7.574;8.18;5068
70;Crokinole (1876);7.568;7.83;10312
71;Teotihuacan: City of Gods (2018);7.564;7.96;8008
72;Too Many Bones (2017);7.563;8.49;3807
73;Roll for the Galaxy (2014);7.558;7.71;22988
74;Russian Railroads (2013);7.557;7.79;13035
75;Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases (1981);7.557;7.78;14661
76;Aeon's End (2016);7.553;8.04;6916
77;Tigris & Euphrates (1997);7.549;7.7;23882
78;Trajan (2011);7.546;7.78;13443
79;Architects of the West Kingdom (2018);7.539;7.86;9948
80;Agricola (Revised Edition) (2016);7.537;8.07;6197
81;Everdell (2018);7.534;8;7421
82;Dominion (2008);7.531;7.63;71431
83;Pandemic (2008);7.528;7.62;89032
84;Raiders of the North Sea (2015);7.519;7.8;11299
85;Star Wars: X-Wing Miniatures Game (2012);7.51;7.73;21602
86;Kemet (2012);7.508;7.73;14407
87;Pandemic: Iberia (2016);7.508;7.95;6920
88;Underwater Cities (2018);7.506;8.09;4939
89;T.I.M.E Stories (2015);7.496;7.68;20849
90;Dead of Winter: A Crossroads Game (2014);7.49;7.64;35257
91;Yokohama (2016);7.489;7.89;7010
92;Grand Austria Hotel (2015);7.482;7.79;9740
93;Stone Age (2008);7.482;7.59;40443
94;Forbidden Stars (2015);7.48;7.97;6575
95;Champions of Midgard (2015);7.477;7.78;10430
96;Descent: Journeys in the Dark (Second Edition) (2012);7.476;7.71;20587
97;Alchemists (2014);7.476;7.69;15958
98;Lorenzo il Magnifico (2016);7.468;7.89;6881
99;Star Realms (2014);7.464;7.6;31097
100;Legendary Encounters: An Alien Deck Building Game (2014);7.459;7.78;9956
